annee;etab_uai;etab_nom;tc;tf;nm;fl;app;int;amg;aut;region;departement;commune;fiche;dataviz;etab_url;etab_gps;nmc;gta;gti;etablissement_id_paysage;composante_id_paysage;rnd;code_formation
2024;0390029V;Lycée des Métiers du Bois (Mouchard - 39);Publics;BTS - BTSA - BTSM;BTS - Services - Conseil et commercialisation de solutions techniques (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);BTS - Conseil et commercialisation de solutions techniques;;;Enseignement en présentiel;;Bourgogne-Franche-Comté;Jura;Mouchard;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5161;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=5161;http://www.lycee-du-bois.com;46.9698, 5.79739;BTS-CCST;5161;5161;;;6560;10429
2024;0390033Z;Lycée polyvalent Hyacinthe Friant - Lycée des métiers de l'hôtellerie, de la restauration et du sanitaire et du social (Poligny - 39);Publics;Formations aux métiers de l'hôtellerie restauration,BTS - BTSA - BTSM;BTS - Services - Management en hôtellerie restauration;BTS - Management en hôtellerie restauration;;;Enseignement en présentiel;;Bourgogne-Franche-Comté;Jura;Poligny;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5165;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=5165;https://lyc-hfriant-poligny.eclat-bfc.fr/;46.8348, 5.7088;BTS-MHR;5165;5165;YcDF8;;17480;10422
2024;0390033Z;Lycée polyvalent Hyacinthe Friant - Lycée des métiers de l'hôtellerie, de la restauration et du sanitaire et du social (Poligny - 39);Publics;Formations aux métiers de l'hôtellerie restauration,Formations préparatoires à l'enseignement supérieur;Mise à niveau - Hôtellerie restauration;MAN - Hôtellerie restauration;;;Enseignement en présentiel;;Bourgogne-Franche-Comté;Jura;Poligny;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5166;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=5166;https://lyc-hfriant-poligny.eclat-bfc.fr/;46.8348, 5.7088;MAN-HR;5166;5166;YcDF8;;1375;612
2024;0390812W;ENILEA-Lycée-campus Poligny (39);Publics;BTS - BTSA - BTSM;BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) produits laitiers (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);BTSA - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) produits laitiers;;;Enseignement en présentiel;;Bourgogne-Franche-Comté;Jura;Poligny;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5175;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=5175;http://www.enil.fr;46.8342, 5.70505;BTSA-BioQUALIM-PL;5175;5175;;;11646;660010
2024;0391038S;CFA AGRICOLE DE MONTMOROT (39);Publics;BTS - BTSA - BTSM;BTS - Agricole - Gestion et protection de la nature - en apprentissage;BTSA - Gestion et protection de la nature;Formations en apprentissage;;Enseignement en présentiel,Formations avec aménagements pour autres publics spécifiques;;Bourgogne-Franche-Comté;Jura;Montmorot;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5176;;http://www.montmorot.educagri.fr;46.6889, 5.51042;BTSA-GPN-App;5176;5176;;;14894;1663
2024;0391092A;Lycée Paul Emile Victor- Lycée des métiers de la production et de la maintenance industrielles (Champagnole - 39);Publics;BTS - BTSA - BTSM;BTS - Production - Maintenance des systèmes - option A Systèmes de production (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);BTS - Maintenance des systèmes - option A Systèmes de production;;;Enseignement en présentiel,Formations avec aménagements pour autres publics spécifiques;;Bourgogne-Franche-Comté;Jura;Champagnole;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5179;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=5179;https://lyc-pevictor-champagnole.eclat-bfc.fr/;46.7426, 5.9232;BTS-MS-Opt.A;5179;5179;;;21606;385
2024;0391146J;Lycée Pasteur Mont Roland (Dole - 39);Privés sous contrat;BTS - BTSA - BTSM;BTS - Services - Comptabilité et gestion;BTS - Comptabilité et gestion;;;Enseignement en présentiel;;Bourgogne-Franche-Comté;Jura;Dole;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5185;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=5185;http://www.groupemontroland.fr;47.0937, 5.48986;BTS-CG;5185;5185;;;29654;486
2024;0391146J;Lycée Pasteur Mont Roland (Dole - 39);Privés sous contrat;BTS - BTSA - BTSM;BTS - Services - Commerce International - en apprentissage;BTS - Commerce International;Formations en apprentissage;;Enseignement en présentiel;;Bourgogne-Franche-Comté;Jura;Dole;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5187;;http://www.groupemontroland.fr;47.0937, 5.48986;BTS-CI-App;5187;5187;;;24857;11427
2024;0391146J;Lycée Pasteur Mont Roland (Dole - 39);Privés sous contrat;BTS - BTSA - BTSM;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;BTS - Négociation et digitalisation de la Relation Client;Formations en apprentissage;;Enseignement en présentiel;;Bourgogne-Franche-Comté;Jura;Dole;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5188;;http://www.groupemontroland.fr;47.0937, 5.48986;BTS-NDRC-App;5188;5188;;;25000;11418
2024;0391146J;Lycée Pasteur Mont Roland (Dole - 39);Privés sous contrat;BTS - BTSA - BTSM;BTS - Services - Professions immobilières - en apprentissage;BTS - Professions immobilières;Formations en apprentissage;;Enseignement en présentiel;;Bourgogne-Franche-Comté;Jura;Dole;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=5189;;http://www.groupemontroland.fr;47.0937, 5.48986;BTS-PI-App;5189;5189;;;11335;1442
